FINANCIALS11JUL2319250PE,18775,0,0,0,0,0,0,0,09:16:00,0,0
FINANCIALS25JUL2319400CE,45835,200,200,0,0,0,0,0,09:16:00,0,0
MAINIDX31AUG2316450PE,1325,0,0,0,0,0,0,0,09:16:00,0,0
MAINIDX31AUG2316650PE,1595,0,0,0,0,0,0,0,09:16:00,0,0
MAINIDX31AUG2317050PE,2510,0,0,0,0,0,0,0,09:16:00,0,0
MAINIDX31AUG2317250PE,9530,0,0,0,0,0,0,0,09:16:00,0,0
MAINIDX31AUG2317350PE,3529,0,0,0,0,0,0,0,09:16:00,0,0
MAINIDX31AUG2317450PE,11990,0,0,0,0,0,0,0,09:16:00,0,0
MAINIDX28DEC2314000CE,462500,0,0,0,570000,0,50,0,09:16:00,0,100
ALLBANKS31AUG2343100PE,49135,0,0,0,57185,0,225,0,09:16:00,0,1215
MAINIDX31AUG2318950PE,44300,0,0,0,74315,0,1750,0,09:16:00,0,1750
MAINIDX31AUG2319550CE,10300,0,0,0,19280,0,1750,0,09:16:00,0,1850
MAINIDX26OCT2323000CE,850,0,0,0,10200,0,1800,0,09:16:00,0,1850
ALLBANKS28SEP2339500PE,27500,0,0,0,39500,0,150,0,09:16:00,0,210
MAINIDX31AUG2318250CE,55825,0,0,0,71055,0,1750,0,09:16:00,0,2350
ALLBANKS26OCT2339000CE,470000,0,0,0,852000,0,25,0,09:16:00,0,25
MAINIDX27JUL2310000PE,110,0,0,0,180,0,1000,0,09:16:00,0,3100
FINANCIALS25JUL2319450PE,35310,0,0,0,65400,0,40,0,09:16:00,0,40
FINANCIALS25JUL2319550PE,46245,0,0,0,51829,0,40,0,09:16:00,0,40
ALLBANKS28SEP2348500CE,87165,0,0,0,44650,0,45,0,09:16:00,0,45
MAINIDX24JUN2719000CE,370125,0,0,0,695000,0,50,0,09:16:00,0,50
MAINIDX25DEC2516000CE,439450,0,0,0,682000,0,50,0,09:16:00,0,50
MAINIDX25JUN2612000CE,720000,0,0,0,992000,0,50,0,09:16:00,0,50
MAINIDX25JUN2618000CE,400000,0,0,0,632000,0,50,0,09:16:00,0,50
MAINIDX25JUN2619000CE,490835,0,0,0,584000,0,50,0,09:16:00,0,50
MAINIDX26JUN2517000CE,344000,0,0,0,564000,0,50,0,09:16:00,0,50
MAINIDX31DEC2616000CE,545025,0,0,0,790000,0,50,0,09:16:00,0,50
MAINIDX31DEC2619000CE,320000,0,0,0,643000,0,50,0,09:16:00,0,50
ALLBANKS20JUL2345300PE,139020,0,0,0,174770,0,875,0,09:16:00,0,875
ALLBANKS31AUG2342200CE,237085,0,0,0,273895,0,885,0,09:16:00,0,885
ALLBANKS31AUG2342300CE,250319,0,0,0,264900,0,885,0,09:16:00,0,885
ALLBANKS31AUG2342400CE,218985,0,0,0,255965,0,885,0,09:16:00,0,885
ALLBANKS31AUG2345500PE,163795,0,0,0,244415,0,885,0,09:16:00,0,885
ALLBANKS31AUG2345700PE,182915,0,0,0,260744,0,885,0,09:16:00,0,885
ALLBANKS31AUG2345800PE,187255,0,0,0,270000,0,885,0,09:16:00,0,885
ALLBANKS31AUG2345900PE,193225,0,0,0,278655,0,885,0,09:16:00,0,885
ALLBANKS28SEP2342000CE,396735,0,0,0,467405,0,90,0,09:16:00,0,90
ALLBANKS31AUG2345400PE,160540,0,0,0,235850,0,15,0,09:16:00,0,900
ALLBANKS31AUG2345100PE,140070,0,0,0,213240,0,15,0,09:16:00,0,915
ALLBANKS31AUG2345200PE,133705,0,0,0,221615,0,15,0,09:16:00,0,915
ALLBANKS31AUG2345300PE,142695,0,0,0,230710,0,900,0,09:16:00,0,915
ALLBANKS31AUG2342800CE,190655,0,0,0,225275,0,15,0,09:16:00,0,945
MAINIDX06JUL2317550CE,99700,0,0,101505,101980,100,200,0,09:16:00,10000,6050
ALLBANKS06JUL2346000CE,720,180500,180500,715,720,5775,1050,1418650,09:16:00,100225,42125
ALLBANKS13JUL2348000CE,700,0,0,470,780,50,25,0,09:16:00,10025,350
